Variable,Bin id,Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,Coefficient,Points
bureau_active_count,2,"[1.50, 2.50)",35055,0.18999382133914344,32440,2615,0.07459706176009129,0.0856461381504241,0.0013445510811636245,0.00016801753609724116,-0.21092380792259285,12.208505635123412
bureau_active_count,3,"[2.50, 3.50)",22889,0.12405558626819724,20998,1891,0.08261610380532133,-0.025160588163472664,7.936709832223069e-05,9.920625612328936e-06,-0.21092380792259285,11.534138709510781
bureau_active_count,4,"[3.50, 4.50)",13315,0.07216567482900285,12041,1274,0.09568156214795344,-0.18632605781979183,0.0027092181269222524,0.0003381632344005691,-0.21092380792259285,10.553289749320744
bureau_active_count,5,"[4.50, inf)",14739,0.07988358102175538,12970,1769,0.12002171110658796,-0.44025741042919786,0.01862094657496481,0.0023090005334812317,-0.21092380792259285,9.00786997858625
bureau_active_count,6,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.21092380792259285,11.687265410847852
bureau_active_count,7,Missing,26341,0.14276500493208893,23674,2667,0.1012490034546904,-0.24905883924807704,0.009831638100687247,0.0012257882298349135,-0.21092380792259285,11.687265410847852
inst_payment_ratio,0,"(-inf, 0.80)",9393,0.05090891353126727,8128,1265,0.1346747577983605,-0.5722392249232595,0.02117651819640052,0.0026115291888924985,-0.20223996984932746,8.348013752878398
inst_payment_ratio,1,"[0.80, 0.92)",17324,0.09389396550789676,15394,1930,0.11140614176864465,-0.3560241733845704,0.013818387463040899,0.0017182333326398475,-0.20223996984932746,9.609717666002043
inst_payment_ratio,2,"[0.92, 0.95)",11816,0.06404127779042416,10676,1140,0.0964793500338524,-0.1955120244440285,0.002657344594932672,0.0003316400372472385,-0.20223996984932746,10.546372191119268
inst_payment_ratio,3,"[0.95, 0.97)",9284,0.05031814683533327,8482,802,0.08638517880224042,-0.07388905141188085,0.0002833661890408756,3.541271820530856e-05,-0.20223996984932746,11.256092351248517
inst_payment_ratio,4,"[0.97, 0.99)",10844,0.05877315642851723,9957,887,0.0817963850977499,-0.014295875501397326,1.2083813542290195e-05,1.5104638304498555e-06,-0.20223996984932746,11.60384308694727
inst_payment_ratio,5,"[0.99, 1.01)",97248,0.5270722903320217,90087,7161,0.07363647581441264,0.09964424047088549,0.005019433400847817,0.000627169731885811,-0.20223996984932746,12.26873061055368
inst_payment_ratio,6,"[1.01, 1.20)",9706,0.05260533532784842,9103,603,0.062126519678549354,0.2819601181982012,0.0037180627068573394,0.0004632243926528702,-0.20223996984932746,13.332618876963133
inst_payment_ratio,7,"[1.20, inf)",9379,0.05083303524004639,8872,507,0.054056935707431496,0.4296625318591176,0.007849788486236072,0.0009737448987214917,-0.20223996984932746,14.194523318710285
inst_payment_ratio,8,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.20223996984932746,11.687265410847852
inst_payment_ratio,9,Missing,9512,0.05155387900664477,8912,600,0.06307821698906645,0.2657423133710166,0.003258475931910749,0.0004061152165359097,-0.20223996984932746,11.687265410847852
cc_utilization_avg_1y,0,"(-inf, 0.52)",29609,0.16047716605422047,27715,1894,0.06396703704954575,0.2508007945279793,0.009090664288059006,0.0011333641824485662,-0.2413539383097977,13.433842795513971
cc_utilization_avg_1y,1,"[0.52, inf)",13107,0.07103834021657832,11132,1975,0.15068284122987716,-0.7032265482693429,0.04708966347464622,0.005767842536060639,-0.2413539383097977,6.789993901737745
cc_utilization_avg_1y,2,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.2413539383097977,11.687265410847852
cc_utilization_avg_1y,3,Missing,141790,0.7684844937292012,130764,11026,0.07776288877918047,0.040656058035355436,0.001248780983956508,0.00015608687321172834,-0.2413539383097977,11.687265410847852
region_rating_client_w_city,0,"(-inf, 1.50)",20447,0.11082024432809773,19442,1005,0.04915146476255686,0.5299661393079362,0.024990390750555425,0.003087747828162204,-0.20450331923302534,14.814446408165978
region_rating_client_w_city,1,"[1.50, 2.50)",137735,0.7465068886648673,126851,10884,0.07902130903546666,0.023237354840079494,0.00039918765654585773,4.9897334435900983e-05,-0.20450331923302534,11.82438250021271
region_rating_client_w_city,2,"[2.50, inf)",26324,0.142672867007035,23318,3006,0.11419237197994225,-0.3838666903995853,0.024695448562389224,0.003068116678427893,-0.20450331923302534,9.422176133090277
region_rating_client_w_city,3,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.20450331923302534,11.687265410847852
region_rating_client_w_city,4,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.20450331923302534,11.687265410847852
days_last_phone_change,0,"(-inf, -2198.50)",17349,0.09402946245650548,16441,908,0.05233731050781025,0.46380712182968153,0.016684773760389553,0.0020671018558998874,-0.13483933629740624,13.491772339001358
days_last_phone_change,1,"[-2198.50, -1569.50)",28797,0.15607622516340933,27004,1793,0.06226343021842553,0.2796128149767263,0.010858877420305372,0.0013529551036979004,-0.13483933629740624,12.775138447026222
days_last_phone_change,2,"[-1569.50, -1356.50)",12430,0.06736908284825426,11617,813,0.06540627514078841,0.2270117183857625,0.003157720620043984,0.00039386969819091245,-0.13483933629740624,12.570486472618374
days_last_phone_change,3,"[-1356.50, -1122.50)",11391,0.06173782966407596,10581,810,0.0711087700816434,0.1372989776577751,0.001098839542010621,0.00013724715769990702,-0.13483933629740624,12.221446420045096
